,id,commonName,borough,latitude,longitude,NbBikes,EmptyDocks,NbDocks
271,BikePoints_54,Golden Lane, Barbican,51.521747,-0.094475,7,17,24
272,BikePoints_55,Finsbury Circus, Liverpool Street,51.517075,-0.086685,5,28,33
273,BikePoints_56,Paddington Street, Marylebone,51.520583,-0.154701,1,16,17
274,BikePoints_57,Guilford Street , Bloomsbury,51.523346,-0.120202,9,27,36
275,BikePoints_58,New Inn Yard, Shoreditch,51.524526,-0.079248,0,20,20
276,BikePoints_60,Lisson Grove, St. John's Wood,51.526448,-0.17219,2,15,17
277,BikePoints_61,Great Dover Street, The Borough,51.497382,-0.089446,21,8,29
278,BikePoints_62,Cotton Garden Estate, Kennington,51.490757,-0.106323,1,22,23
279,BikePoints_63,Murray Grove , Hoxton,51.53089,-0.089782,11,14,25
280,BikePoints_64,William IV Street, Strand,51.509462,-0.124749,9,15,24
281,BikePoints_66,Holborn Circus, Holborn,51.51795,-0.108657,8,30,38
282,BikePoints_67,Hatton Garden, Holborn,51.518825,-0.108028,16,18,34
283,BikePoints_68,Theobald's Road , Holborn,51.520596,-0.116688,2,26,28
284,BikePoints_69,Euston Road, Euston,51.526236,-0.134407,13,10,23
285,BikePoints_70,Calshot Street , King's Cross,51.53136,-0.117069,16,8,24
286,BikePoints_71,Newgate Street , St. Paul's,51.515418,-0.09885,26,21,47
287,BikePoints_72,Farringdon Lane, Clerkenwell,51.52352,-0.10834,3,13,16
288,BikePoints_73,Old Street Station, St. Luke's,51.52548,-0.089659,1,27,28
289,BikePoints_74,Vauxhall Cross, Vauxhall,51.485917,-0.124469,14,2,16
290,BikePoints_75,Torrens Street, Angel,51.532199,-0.10548,5,14,19
291,BikePoints_76,Longford Street, The Regent's Park,51.525595,-0.144083,15,6,21
292,BikePoints_77,Russell Square Station, Bloomsbury,51.523418,-0.124121,2,22,24
293,BikePoints_78,Sadlers Sports Centre, Finsbury,51.524868,-0.099489,6,11,17
294,BikePoints_79,Arundel Street, Temple,51.511726,-0.113855,14,7,21
295,BikePoints_80,Webber Street , Southwark,51.500693,-0.102091,5,40,45
296,BikePoints_81,Great Titchfield Street, Fitzrovia,51.520253,-0.141327,1,18,19
297,BikePoints_82,Chancery Lane, Holborn,51.514274,-0.111257,4,9,13
298,BikePoints_83,Panton Street, West End,51.509639,-0.13151,1,17,18
299,BikePoints_338,Wellington Street , Strand,51.511756,-0.119643,6,20,26
300,BikePoints_339,Risinghill Street, Angel,51.533319,-0.111781,14,11,25
301,BikePoints_340,Bank of England Museum, Bank,51.514441,-0.087587,16,7,23
302,BikePoints_341,Craven Street, Strand,51.508103,-0.126021,0,21,21
303,BikePoints_343,London Zoo Car Park, The Regent's Park,51.536922,-0.150181,13,20,33
304,BikePoints_344,Goswell Road (City Uni), Finsbury,51.528246,-0.101026,2,12,14
305,BikePoints_345,Flood Street, Chelsea,51.488023,-0.166878,12,19,31
306,BikePoints_347,Lower Marsh, Waterloo,51.500139,-0.113936,15,4,19
307,BikePoints_348,Grosvenor Square, Mayfair,51.51217,-0.150481,5,12,17
308,BikePoints_349,St. George Street, Mayfair,51.51196,-0.142783,11,6,17
309,BikePoints_350,Queen's Gate, Kensington Gardens,51.501715,-0.179854,1,17,18
310,BikePoints_351,Macclesfield Rd, St Lukes,51.529423,-0.097122,7,16,23
311,BikePoints_352,Vauxhall Street, Vauxhall,51.486965,-0.116625,16,2,18
312,BikePoints_353,Greycoat Street , Westminster,51.494591,-0.134234,16,0,16
313,BikePoints_354,Northumberland Avenue, Strand,51.506767,-0.123702,3,34,37
314,BikePoints_355,Clapham Common Station, Clapham Common,51.461388,-0.139221,6,15,21
315,BikePoints_356,South Kensington Station, South Kensington,51.494412,-0.173881,13,1,14
316,BikePoints_357,Howland Street, Fitzrovia,51.520994,-0.139016,4,26,30
317,BikePoints_358,High Holborn , Covent Garden,51.516226,-0.124826,17,2,19
318,BikePoints_359,Butler Place, Westminster,51.497829,-0.13544,7,12,19
319,BikePoints_360,Howick Place, Westminster,51.496753,-0.138733,17,15,32
320,BikePoints_361,Waterloo Station 2, Waterloo,51.503919,-0.113426,33,15,48
321,BikePoints_362,Royal College Street, Camden Town,51.536264,-0.133952,0,54,54
322,BikePoints_363,Lord's, St. John's Wood,51.529121,-0.171185,2,22,24
323,BikePoints_364,Store Street, Bloomsbury,51.519572,-0.13214,8,24,32
324,BikePoints_365,City Road, Angel,51.530344,-0.100168,12,31,43
325,BikePoints_366,Millennium Hotel, Mayfair,51.510919,-0.151126,8,21,29
326,BikePoints_367,Harrowby Street, Marylebone,51.517372,-0.164207,1,12,13
327,BikePoints_368,Harriet Street, Knightsbridge,51.500241,-0.15934,22,6,28
328,BikePoints_370,Paddington Green, Paddington,51.520205,-0.174593,5,12,17
329,BikePoints_371,King Edward Walk, Waterloo,51.49775,-0.10988,6,15,21
330,BikePoints_372,Sardinia Street, Holborn,51.515208,-0.117863,1,23,24
331,BikePoints_373,Prince Consort Road, Knightsbridge,51.499806,-0.176415,1,17,18
332,BikePoints_374,Waterloo Station 1, Waterloo,51.504027,-0.113864,14,17,31
333,BikePoints_375,Kensington Town Hall, Kensington,51.501945,-0.194392,3,11,14
334,BikePoints_376,Millbank Tower, Pimlico,51.491884,-0.125674,5,19,24
